URL: /califirnew, Método: GET, Tiempo de respuesta: 155.4101ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.4921ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.4866ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.7353ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.6078ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.2262ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 34.6332ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.6555ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.2871ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 19.9213ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.2771ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.5308ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.9808ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.1828ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.2158ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.1635ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.0979ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.046ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.8875ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.6324ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.7139ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.9054ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.054ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.3975ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.5679ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.4898ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.144ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 23.094ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 23.7741ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.3718ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.7494ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.3873ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.4215ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.96ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.7925ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.9972ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.3103ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.3708ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.3896ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.3528ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.8762ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.1472ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.5189ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.0569ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.692ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.1026ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.4058ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.4612ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.739ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.9959ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.4624ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.6945ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 19.8977ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.3793ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.3455ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.826ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.9783ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.8628ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.7947ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.9201ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.3359ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 19.5302ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.3613ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.2409ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.395ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.0145ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 20.1628ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 21.1009ms
URL: /update_calfir, Método: POST, Tiempo de respuesta: 22.1251ms
